0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	7	0	0	0	0	0	0	5
0	0	0	3	9	0	2	0	0	0	0	7
0	1	3	4	14	1	4	1	2	0	5	2
2	3	1	4	11	0	6	1	4	1	0	4
6	0	0	6	11	1	2	1	4	2	0	4
2	0	0	9	16	2	3	4	4	2	0	6
4	0	0	11	9	3	0	0	4	1	1	7
4	1	3	13	5	3	2	2	4	1	5	2
1	4	2	4	8	2	7	3	7	4	4	4
2	1	1	1	10	4	11	0	4	5	7	0
1	0	1	2	5	3	14	1	1	5	6	3
5	0	1	3	7	1	8	1	3	2	7	6
7	5	2	3	9	3	2	4	6	2	5	5
4	3	1	3	10	1	4	4	6	2	2	7
6	0	4	3	6	2	3	2	9	1	7	2
0	1	1	5	6	3	4	4	5	7	8	5
2	3	2	3	9	0	2	0	7	3	9	6
1	3	3	1	11	1	3	1	10	2	12	2
2	5	2	4	8	1	5	1	6	4	5	2
4	2	0	10	8	2	5	1	7	2	1	4
8	3	0	7	7	1	1	1	10	1	1	6
3	1	0	10	11	2	2	4	11	1	0	10
2	0	3	11	13	4	9	2	4	5	6	4
2	4	2	13	10	4	13	1	1	4	3	1
0	2	1	15	10	4	15	0	0	1	1	1
5	0	1	18	4	5	10	1	1	2	1	2
6	0	2	18	1	1	16	1	1	1	2	2
0	1	0	20	4	2	19	4	1	0	1	5
5	4	1	13	5	2	14	0	6	2	5	1
8	3	1	15	7	1	6	2	8	3	2	4
13	2	0	8	7	2	0	1	16	3	2	8
6	2	2	15	8	3	2	5	17	1	4	8
8	3	3	10	4	0	7	2	16	6	5	10
1	4	4	12	6	3	8	6	11	9	5	6
2	3	2	12	3	3	11	2	3	9	5	3
1	0	2	6	4	1	16	1	9	4	7	4
4	4	2	12	6	2	12	1	11	1	4	3
10	2	0	9	4	1	5	1	16	3	4	5
5	3	2	13	6	2	4	4	11	8	3	6
2	1	2	8	7	1	4	4	17	4	4	7
1	3	3	10	7	2	6	1	12	8	5	2
5	2	1	5	8	2	1	1	17	5	7	4
2	4	1	8	10	1	4	2	12	8	2	7
1	1	3	3	14	3	8	1	10	10	6	3
5	4	2	7	10	3	4	0	11	6	3	5
8	2	3	8	9	5	1	2	12	2	5	1
8	4	1	4	6	3	5	1	7	8	5	3
11	1	2	4	3	3	4	2	9	5	6	3
6	1	2	5	6	2	6	6	3	9	7	5
0	5	2	6	8	4	10	4	2	6	2	5
1	1	3	7	4	2	12	2	4	3	3	9
1	3	2	9	5	0	12	2	1	4	0	15
0	0	0	11	8	1	16	0	1	1	0	17
1	2	0	3	7	1	18	2	8	0	0	19
6	1	2	5	2	2	12	1	8	2	5	16
7	2	3	2	5	3	9	2	11	3	11	11
1	0	3	3	8	5	9	6	6	8	17	7
0	5	3	5	11	5	12	1	2	9	12	7
0	1	4	4	5	1	15	2	4	2	13	10
2	5	1	7	5	0	16	1	3	2	6	12
1	1	2	1	4	1	17	1	5	3	11	7
6	6	2	0	9	1	13	0	6	3	9	4
8	0	1	1	11	2	8	2	7	3	11	1
2	0	2	2	13	5	10	6	3	6	12	2
1	5	0	6	6	6	14	2	3	4	5	2
6	3	2	6	6	6	11	1	4	2	2	4
7	2	3	3	8	1	17	2	5	3	3	8
8	0	2	3	7	1	17	1	4	3	7	3
6	1	2	3	11	2	11	5	6	3	9	3
1	5	2	9	13	3	16	5	3	6	4	1
0	0	1	4	8	5	18	2	8	4	5	4
1	4	1	10	3	5	19	0	3	8	2	6
5	1	3	3	1	1	14	1	10	5	3	8
3	2	0	3	1	1	18	4	4	8	3	12
3	2	2	3	4	1	20	1	1	5	5	6
0	2	2	1	10	1	26	2	1	2	8	6
0	4	1	3	15	0	27	0	2	1	3	10
5	1	2	5	12	1	21	0	3	2	4	6
9	0	3	3	15	2	15	3	8	2	10	2
10	3	0	1	11	3	15	1	2	6	9	3
10	0	1	5	8	2	19	0	1	3	12	1
10	0	0	4	5	1	21	1	5	1	12	9
10	5	0	7	1	1	23	2	3	3	5	13
15	2	0	5	2	1	20	0	6	5	5	16
16	2	0	4	4	0	23	0	2	7	5	19
20	3	2	6	1	1	19	1	4	4	5	15
20	2	3	2	1	2	14	6	8	2	10	9
19	1	2	2	5	3	20	1	4	7	16	6
24	4	4	4	4	4	14	1	6	4	14	2
22	0	1	5	5	4	13	5	10	2	15	4
15	5	2	6	6	3	14	7	5	7	9	10
13	6	1	13	8	2	10	6	6	4	2	13
10	1	2	6	10	2	7	5	15	3	2	14
15	1	4	7	5	5	4	2	17	2	5	10
17	3	2	7	4	0	2	0	20	3	5	13
18	3	3	10	2	2	3	2	16	6	6	10
12	4	2	2	7	2	1	5	20	3	11	5
6	5	3	4	10	4	3	5	22	2	8	3
4	2	3	3	13	2	2	5	24	1	8	6
5	0	1	2	10	1	3	2	26	1	9	11
4	4	1	6	13	1	5	4	27	0	4	12
7	4	0	7	12	1	3	0	27	2	1	15
3	4	3	1	13	3	7	5	22	6	7	10
7	5	2	2	12	3	6	0	23	4	4	9
6	0	3	7	13	2	0	4	24	2	8	4
2	1	1	3	13	2	4	5	20	9	9	5
1	6	1	6	17	2	5	2	13	12	5	4
0	3	1	9	21	2	9	0	9	10	4	0
1	3	2	12	18	1	12	1	3	7	1	6
2	0	2	16	17	1	14	2	2	2	4	7
1	5	2	14	14	1	15	2	6	1	7	7
5	3	0	5	17	1	11	1	13	3	8	8
11	1	0	4	12	1	7	2	17	2	9	17
3	1	0	3	13	2	8	7	12	9	9	19
0	0	2	0	15	3	12	3	8	11	14	13
1	0	4	2	17	0	15	0	2	8	15	16
5	5	4	3	11	3	10	2	4	4	13	10
6	1	3	4	6	3	13	1	2	3	18	10
1	5	1	9	7	2	14	3	2	3	10	14
