3	4
3	4
0	0
5	7
34	35
5	7
9	10
9	10
0	0
11	13
30	31
11	13
15	16
15	16
0	0
17	19
26	27
17	19
21	22
21	22
0	0
0	0
20	25
20	25
26	27
49	50
14	29
14	29
30	31
45	46
8	33
8	33
34	35
41	42
2	37
2	37
0	0
36	40
36	40
41	42
65	64
32	44
32	44
45	46
61	60
28	48
28	48
49	50
57	56
24	52
24	52
0	0
51	55
51	55
56	57
80	79
47	59
47	59
60	61
76	75
43	63
43	63
64	65
72	71
39	67
39	67
0	0
66	70
66	70
71	72
95	94
62	74
62	74
75	76
91	90
58	78
58	78
79	80
87	86
54	82
54	82
0	0
81	85
81	85
86	87
110	109
77	89
77	89
90	91
106	105
73	93
73	93
94	95
102	101
69	97
69	97
0	0
96	100
96	100
101	102
0	0
92	104
92	104
105	106
0	0
88	108
88	108
109	110
0	0
84	112
84	112
0	0
