1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
17	0	0	0	0	15	0	0	0	0	11	0	0	0	0	0	0	12	17	0	0	0	12	0
38	0	0	0	0	26	0	0	0	0	25	2	3	0	0	8	0	29	15	5	0	0	26	1
60	3	0	0	0	39	0	0	0	0	35	1	2	0	2	7	1	44	22	6	1	0	42	0
73	2	2	0	0	54	0	7	0	0	25	1	19	0	2	14	5	52	16	13	0	0	58	0
87	0	2	0	14	45	14	7	0	0	41	17	20	0	0	23	3	42	35	28	0	0	44	9
104	0	0	0	22	27	22	8	3	4	63	33	20	5	0	30	0	39	43	22	3	13	42	10
111	0	0	0	34	18	33	6	6	3	51	39	17	11	14	39	0	28	58	24	4	15	51	9
104	2	7	20	34	29	33	11	5	1	43	43	30	13	11	43	6	27	70	29	4	9	69	11
92	5	4	35	13	42	42	9	6	1	32	44	52	14	7	47	13	23	86	40	10	6	83	11
80	17	8	28	13	56	64	12	8	3	51	37	40	18	24	41	17	40	81	22	6	26	79	10
99	11	9	30	26	38	54	16	15	15	40	39	27	25	35	49	12	22	95	25	3	31	95	10
79	27	12	45	37	32	68	20	13	15	53	34	13	8	50	27	17	18	111	38	12	39	89	11
88	44	16	62	26	22	74	23	7	7	39	40	26	22	60	17	13	28	101	26	11	41	102	15
103	25	18	73	18	19	61	40	11	12	47	26	32	21	37	34	21	39	96	31	12	20	118	29
103	32	17	78	26	24	65	40	18	14	55	8	15	13	26	39	37	26	102	50	17	3	132	24
123	23	9	87	13	25	69	24	27	10	70	0	17	27	11	41	25	22	107	46	11	15	145	13
137	19	19	67	3	41	65	24	15	24	86	7	17	13	15	34	16	40	109	49	20	20	135	7
147	22	14	43	0	63	64	28	16	31	105	24	18	2	16	22	11	38	124	61	21	26	112	11
135	29	9	33	0	74	91	17	14	12	125	41	2	8	12	38	10	54	111	41	10	42	86	11
141	32	14	21	0	87	86	38	14	19	137	34	10	8	12	21	8	52	114	30	12	58	61	10
123	41	15	37	15	71	97	25	33	18	154	38	11	8	16	13	9	37	129	20	13	74	47	4
128	28	16	45	23	56	108	11	23	10	139	45	35	12	18	12	2	33	132	20	10	57	80	19
114	34	12	61	39	43	119	11	11	6	121	51	34	15	15	15	13	19	150	35	5	40	113	31
119	16	18	66	31	30	106	15	7	19	121	48	40	31	14	18	11	18	153	22	9	27	139	34
142	17	17	52	31	48	128	12	14	14	93	61	31	35	38	23	5	29	134	7	8	40	130	21
146	20	7	54	43	42	131	8	11	5	86	62	36	16	47	17	4	33	139	17	18	23	135	25
164	11	11	53	43	47	112	13	4	23	107	53	19	25	42	21	14	24	140	23	10	11	139	28
151	24	14	68	58	43	92	26	7	34	112	49	9	31	52	15	16	40	118	18	6	20	120	10
153	13	15	74	73	37	73	31	9	33	115	67	24	7	55	17	6	51	113	25	19	27	99	9
158	12	11	78	64	35	78	15	21	20	100	72	41	23	62	6	7	49	121	14	14	23	107	20
162	9	4	80	52	22	89	8	25	4	75	78	64	39	68	16	3	63	102	14	4	19	113	19
163	6	9	55	52	31	93	30	20	10	79	54	46	41	87	13	5	55	123	20	5	11	142	15
147	12	12	44	30	43	119	25	16	10	88	67	56	56	94	21	8	68	105	24	2	17	136	17
152	8	10	35	5	57	132	12	18	7	90	74	80	72	103	30	2	84	87	18	4	15	140	13
158	12	4	37	19	51	114	14	13	10	82	89	68	79	105	35	8	77	99	19	4	26	121	9
160	18	7	40	35	32	127	15	12	12	87	73	52	64	128	31	15	92	84	24	10	14	127	16
137	27	10	58	51	23	110	25	8	19	118	60	46	41	138	24	11	94	116	29	23	14	133	12
121	31	12	75	59	19	113	21	15	21	141	46	44	46	127	28	17	81	131	25	25	30	115	13
106	52	12	66	37	30	135	16	15	6	131	61	53	37	130	12	15	67	136	43	28	37	112	17
109	39	15	74	42	36	135	16	16	4	108	71	70	22	111	17	15	46	152	69	29	42	99	13
97	46	15	69	29	53	131	27	16	14	83	88	90	11	93	32	25	59	133	77	23	48	81	10
109	51	9	86	33	48	111	32	17	23	60	102	109	14	88	39	18	53	136	69	8	69	72	13
127	46	20	85	13	58	120	16	22	17	55	113	119	18	92	18	12	43	143	85	8	46	110	20
132	35	27	90	12	52	96	24	13	24	95	112	123	23	92	23	13	55	121	89	7	25	126	22
140	30	12	78	12	67	85	33	9	34	123	104	108	15	106	22	4	53	131	99	9	7	143	24
142	34	13	69	12	81	110	34	16	27	141	74	96	13	91	35	22	70	112	109	12	4	156	12
118	46	8	90	11	76	109	33	23	11	150	50	106	16	94	16	25	59	117	129	8	4	158	3
122	28	27	96	28	56	126	20	12	11	135	51	105	21	105	18	6	68	109	119	9	11	164	5
126	12	29	102	22	51	111	25	12	17	140	57	110	34	87	24	19	61	117	108	11	30	146	9
110	25	19	93	22	62	136	15	22	15	121	66	101	40	103	12	20	54	135	98	8	29	152	15
109	33	13	107	1	75	117	22	17	22	100	86	116	53	89	16	17	69	133	76	7	47	125	11
91	46	10	116	1	88	99	30	9	33	79	96	113	38	102	3	10	83	146	79	26	27	125	15
96	19	24	114	1	100	82	35	12	33	73	104	91	20	122	21	2	95	122	86	36	14	132	25
93	24	17	121	1	115	84	22	18	21	107	93	83	8	112	37	13	104	100	95	24	9	138	8
107	39	10	135	14	98	68	40	21	20	135	74	91	8	113	27	10	91	106	97	10	21	144	5
121	47	12	108	14	111	77	56	21	26	143	51	79	14	128	7	5	91	107	89	9	26	147	11
102	52	14	99	14	131	99	34	32	10	124	74	83	19	125	16	8	68	140	84	16	46	122	11
111	60	10	107	26	126	91	51	27	12	129	69	74	26	136	9	6	65	158	73	16	60	103	9
113	64	5	85	26	137	92	68	16	23	135	52	70	30	140	6	2	72	164	59	10	57	106	14
